fincode,invdate,noshares,percent_aum,schemecode
211840,2026-05-31,452391,0.91,3626
211385,2026-05-31,577485,0.89,3626
100124,2026-05-31,810000,0.89,3626
132830,2026-05-31,668666,0.89,3626
210072,2026-05-31,88686,0.86,3626
100257,2026-05-31,440344,0.84,3626
132898,2026-05-31,3411655,0.84,3626
208607,2026-05-31,635000,0.82,3626
132868,2026-05-31,1567537,0.78,3626
209550,2026-05-31,1742132,0.78,3626
215367,2026-05-31,2067993,0.75,3626
208361,2026-05-31,361183,0.59,3626
208727,2026-05-31,650512,0.56,3626
100547,2026-05-31,2207558,0.56,3626
124715,2026-05-31,328504,0.50,3626
103806,2026-05-31,206405,0.47,3626
100251,2026-05-31,119421,0.43,3626
132281,2026-05-31,407884,0.41,3626
208280,2026-05-31,161712,0.36,3626
211337,2026-05-31,38967,0.31,3626
117334,2026-05-31,2408577,0.30,3626
222055,2026-05-31,75861,0.28,3626
102355,2026-05-31,146981,0.27,3626
226019,2026-05-31,1017048,0.10,3626
324996,2026-05-31,1017048,0.10,3626
217126,2026-05-31,1017048,0.10,3626
324997,2026-05-31,1017048,0.10,3626
217797,2026-05-31,181679,0.00,3626
132174,2026-05-31,4645900,5.31,3660
100180,2026-05-31,7260650,4.92,3660
100325,2026-05-31,2522500,3.03,3660
100113,2026-05-31,14273900,2.65,3660
132454,2026-05-31,1557050,2.59,3660
100112,2026-05-31,2914500,2.56,3660
100247,2026-05-31,6902000,2.41,3660
252306,2026-05-31,9886725,2.25,3660
100875,2026-05-31,6857050,1.79,3660
100228,2026-05-31,1505250,1.75,3660
132648,2026-05-31,72680700,1.53,3660
126371,2026-05-31,18576000,1.49,3660
132822,2026-05-31,115432125,1.47,3660
100103,2026-05-31,3864000,1.47,3660
279527,2026-05-31,7142400,1.35,3660
132461,2026-05-31,12800000,1.24,3660
132296,2026-05-31,515625,1.07,3660
229365,2026-05-31,4735250,1.03,3660
111243,2026-05-31,705625,0.99,3660
124804,2026-05-31,706200,0.92,3660
271867,2026-05-31,726750,0.90,3660
100253,2026-05-31,1793000,0.87,3660
209967,2026-05-31,2143700,0.86,3660
209068,2026-05-31,2590800,0.81,3660
131213,2026-05-31,2718000,0.80,3660
132215,2026-05-31,649375,0.76,3660
124715,2026-05-31,434350,0.71,3660
280713,2026-05-31,2622600,0.67,3660
132868,2026-05-31,1196250,0.64,3660
132134,2026-05-31,2146950,0.52,3660
100300,2026-05-31,184000,0.52,3660
286335,2026-05-31,579000,0.52,3660
100271,2026-05-31,335600,0.51,3660
132541,2026-05-31,394875,0.51,3660
132483,2026-05-31,4259250,0.51,3660
100049,2026-05-31,1332375,0.50,3660
132500,2026-05-31,41400,0.49,3660
242461,2026-05-31,1475600,0.49,3660
111218,2026-05-31,545325,0.47,3660
289108,2026-05-31,1116350,0.46,3660
217389,2026-05-31,832700,0.45,3660
217757,2026-05-31,458900,0.43,3660
100470,2026-05-31,2186250,0.41,3660
132343,2026-05-31,135275,0.41,3660
100850,2026-05-31,693000,0.41,3660
278580,2026-05-31,6251350,0.41,3660
210258,2026-05-31,852850,0.39,3660
100182,2026-05-31,87300,0.39,3660
