fincode,invdate,percent_aum,schemecode
217287,2025-03-31,1.28,47601
217287,2025-03-31,7.25,11896
293680,2025-03-31,0.58,46815
217639,2025-03-31,0.00,46815
217287,2025-03-31,2.51,46815
293680,2025-03-31,0.88,49706
217639,2025-03-31,0.00,49706
217287,2025-03-31,2.06,49706
217640,2025-03-31,95.38,43438
293680,2025-03-31,6.48,2580
217639,2025-03-31,0.10,2580
217287,2025-03-31,1.17,2580
217285,2025-03-31,42.54,43784
293680,2025-03-31,19.33,43784
217287,2025-03-31,0.37,43784
293680,2025-03-31,3.74,47876
217287,2025-03-31,0.90,47876
207979,2025-03-31,1.87,49202
217287,2025-03-31,2.31,49202
293680,2025-03-31,0.20,47034
217639,2025-03-31,0.00,47034
217287,2025-03-31,2.74,47034
293680,2025-03-31,0.02,46858
217287,2025-03-31,1.97,46858
293680,2025-03-31,0.98,47186
217639,2025-03-31,0.00,47186
217287,2025-03-31,1.68,47186
207979,2025-03-31,2.67,42221
217287,2025-03-31,1.89,42221
207979,2025-03-31,2.07,46626
217287,2025-03-31,1.79,46626
293680,2025-03-31,0.80,46822
217639,2025-03-31,0.00,46822
217287,2025-03-31,1.73,46822
217285,2025-03-31,63.76,44008
293680,2025-03-31,27.55,44008
217287,2025-03-31,1.04,44008
207979,2025-03-31,1.51,42211
217287,2025-03-31,0.89,42211
293680,2025-03-31,2.68,45552
217287,2025-03-31,1.66,45552
217287,2025-03-31,-19.81,818
217640,2025-03-31,-5.88,49676
207979,2025-03-31,0.66,46897
217287,2025-03-31,2.02,46897
207979,2025-03-31,0.23,23018
217287,2025-03-31,2.86,23018
218038,2025-03-31,19.23,44317
293680,2025-03-31,72.23,44317
217287,2025-03-31,0.07,44317
293680,2025-03-31,2.74,2960
217639,2025-03-31,3.84,2960
217287,2025-03-31,2.89,47337
293680,2025-03-31,95.66,43350
217287,2025-03-31,0.06,43350
293680,2025-03-31,1.29,38870
217287,2025-03-31,2.80,38870
293680,2025-03-31,1.07,1079
217639,2025-03-31,0.00,1079
217287,2025-03-31,1.05,1079
293680,2025-03-31,0.09,42924
217639,2025-03-31,0.00,42924
217287,2025-03-31,0.82,42924
293680,2025-03-31,0.84,2343
217639,2025-03-31,0.41,2343
293680,2025-03-31,3.47,12382
217287,2025-03-31,3.74,12382
293680,2025-03-31,0.01,47208
217287,2025-03-31,0.02,47208
293680,2025-03-31,0.94,48027
217287,2025-03-31,2.68,48027
293680,2025-03-31,2.43,46511
217287,2025-03-31,1.51,46511
293680,2025-03-31,1.74,39948
217287,2025-03-31,0.91,39948
293680,2025-03-31,0.51,46945
217287,2025-03-31,0.48,46945
217287,2025-03-31,0.40,45364
293680,2025-03-31,1.16,46821
217639,2025-03-31,0.00,46821
217287,2025-03-31,1.80,46821
293680,2025-03-31,0.03,39478
217287,2025-03-31,3.98,39478
217287,2025-03-31,3.04,3441
293680,2025-03-31,0.45,2129
217287,2025-03-31,-0.31,2129
217640,2025-03-31,1.57,3392
207979,2025-03-31,0.65,45593
217287,2025-03-31,1.58,45593
217287,2025-03-31,-7.24,44073
293680,2025-03-31,1.67,45972
217287,2025-03-31,1.20,45972
293680,2025-03-31,3.15,36348
217287,2025-03-31,-0.12,36348
293680,2025-03-31,2.36,45889
217287,2025-03-31,0.36,45889
293680,2025-03-31,0.22,15131
217287,2025-03-31,1.25,15131
217287,2025-03-31,10.50,14960
293680,2025-03-31,0.86,36529
217639,2025-03-31,0.01,36529
217287,2025-03-31,3.33,36529
293680,2025-03-31,15.00,46153
217287,2025-03-31,2.39,46153
207979,2025-03-31,0.33,49201
217287,2025-03-31,4.79,49201
207979,2025-03-31,0.06,45699
217287,2025-03-31,-0.05,45699
207979,2025-03-31,11.11,205
217287,2025-03-31,-0.10,205
293680,2025-03-31,2.42,30400
217287,2025-03-31,1.78,30400
207979,2025-03-31,2.40,9765
217287,2025-03-31,1.66,9765
207979,2025-03-31,0.87,23296
217641,2025-03-31,2.63,23296
217287,2025-03-31,-0.26,23296
293680,2025-03-31,0.30,41962
217639,2025-03-31,0.05,41962
217287,2025-03-31,2.67,41962
293680,2025-03-31,99.52,49344
217287,2025-03-31,0.48,49344
293680,2025-03-31,2.38,46158
217287,2025-03-31,1.65,46158
293680,2025-03-31,4.48,19955
217287,2025-03-31,1.01,19955
217285,2025-03-31,96.38,43213
293680,2025-03-31,1.46,43213
217287,2025-03-31,0.19,43213
293680,2025-03-31,2.15,46075
217287,2025-03-31,2.28,46075
293680,2025-03-31,0.91,46755
217287,2025-03-31,2.22,46755
293680,2025-03-31,2.22,586
217287,2025-03-31,-0.10,586
207979,2025-03-31,0.67,46891
217287,2025-03-31,2.63,46891
293680,2025-03-31,2.77,46201
217287,2025-03-31,1.16,46201
293680,2025-03-31,2.77,47333
217287,2025-03-31,1.40,47333
293680,2025-03-31,3.54,46397
217287,2025-03-31,0.24,46397
217287,2025-03-31,-0.04,45718
207979,2025-03-31,99.84,44156
217287,2025-03-31,0.16,44156
293680,2025-03-31,2.49,47042
217287,2025-03-31,0.98,47042
217640,2025-03-31,-6.89,49073
293680,2025-03-31,4.57,46050
217287,2025-03-31,2.06,46050
217287,2025-03-31,0.25,47003
293680,2025-03-31,0.63,45796
217639,2025-03-31,0.00,45796
217287,2025-03-31,1.97,45796
293680,2025-03-31,3.27,45580
217287,2025-03-31,1.40,45580
207979,2025-03-31,6.78,1938
217287,2025-03-31,2.21,1938
293680,2025-03-31,0.61,47900
217639,2025-03-31,0.00,47900
217287,2025-03-31,3.33,47900
217285,2025-03-31,1.86,43845
293680,2025-03-31,8.65,43845
217287,2025-03-31,2.76,43845
207979,2025-03-31,0.40,46536
217287,2025-03-31,2.15,46536
217287,2025-03-31,0.07,49146
207979,2025-03-31,2.05,5925
217287,2025-03-31,1.31,5925
207979,2025-03-31,1.00,8374
217287,2025-03-31,2.91,8374
293680,2025-03-31,3.02,2381
217639,2025-03-31,3.26,2381
293680,2025-03-31,0.02,47260
217287,2025-03-31,0.04,47260
293680,2025-03-31,0.33,46867
217287,2025-03-31,1.23,46867
217640,2025-03-31,3.49,1018
293680,2025-03-31,0.57,47676
217287,2025-03-31,-0.13,47676
207979,2025-03-31,2.21,6932
217287,2025-03-31,2.22,6932
293680,2025-03-31,2.90,46200
217287,2025-03-31,1.07,46200
217287,2025-03-31,-0.00,46317
293680,2025-03-31,0.52,46919
217287,2025-03-31,0.25,46919
293680,2025-03-31,3.20,2087
217287,2025-03-31,-2.91,2087
