fincode,invdate,percent_aum,schemecode
1134227,2026-05-31,0.52,293
1134285,2026-05-31,0.52,293
1134228,2026-05-31,0.52,293
1134317,2026-05-31,0.52,293
1134335,2026-05-31,0.52,293
1134318,2026-05-31,0.52,293
1134548,2026-05-31,0.52,293
1134549,2026-05-31,0.50,293
1133786,2026-05-31,0.47,293
1134319,2026-05-31,0.47,293
1133188,2026-05-31,0.42,293
1133181,2026-05-31,0.42,293
1133866,2026-05-31,0.42,293
1134320,2026-05-31,0.41,293
1134321,2026-05-31,0.41,293
1134209,2026-05-31,0.41,293
1134241,2026-05-31,0.41,293
1134322,2026-05-31,0.41,293
1134323,2026-05-31,0.41,293
1134324,2026-05-31,0.41,293
1134248,2026-05-31,0.41,293
1134490,2026-05-31,0.41,293
1130654,2026-05-31,0.37,293
1131540,2026-05-31,0.32,293
1131747,2026-05-31,0.32,293
1129908,2026-05-31,0.32,293
1130690,2026-05-31,0.32,293
1133788,2026-05-31,0.32,293
1133536,2026-05-31,0.31,293
1133789,2026-05-31,0.31,293
1134550,2026-05-31,0.31,293
1130674,2026-05-31,0.26,293
1133790,2026-05-31,0.26,293
1133930,2026-05-31,0.26,293
1133931,2026-05-31,0.26,293
1130784,2026-05-31,0.21,293
1133148,2026-05-31,0.21,293
1128707,2026-05-31,0.21,293
1133145,2026-05-31,0.21,293
1133327,2026-05-31,0.21,293
1133120,2026-05-31,0.21,293
1133791,2026-05-31,0.21,293
1133768,2026-05-31,0.21,293
1133537,2026-05-31,0.21,293
1129872,2026-05-31,0.21,293
1133538,2026-05-31,0.21,293
1133754,2026-05-31,0.21,293
1133867,2026-05-31,0.21,293
1134325,2026-05-31,0.21,293
1134326,2026-05-31,0.21,293
1134551,2026-05-31,0.21,293
1134336,2026-05-31,0.21,293
1134327,2026-05-31,0.18,293
1129180,2026-05-31,0.16,293
1130710,2026-05-31,0.16,293
1133539,2026-05-31,0.16,293
1131018,2026-05-31,0.16,293
1133571,2026-05-31,0.16,293
1133540,2026-05-31,0.16,293
1133541,2026-05-31,0.16,293
1133801,2026-05-31,0.16,293
1133792,2026-05-31,0.16,293
1134329,2026-05-31,0.16,293
1134330,2026-05-31,0.16,293
1134328,2026-05-31,0.16,293
1133400,2026-05-31,0.10,293
1133793,2026-05-31,0.10,293
1133932,2026-05-31,0.10,293
1133933,2026-05-31,0.10,293
1134331,2026-05-31,0.08,293
1134552,2026-05-31,0.08,293
1134201,2026-05-31,4.49,293
1134205,2026-05-31,3.28,293
1133091,2026-05-31,3.16,293
1132314,2026-05-31,2.09,293
1132847,2026-05-31,0.63,293
1129450,2026-05-31,0.57,293
1133730,2026-05-31,0.42,293
1132092,2026-05-31,0.36,293
1132216,2026-05-31,0.21,293
1112685,2026-05-31,0.15,2060
1113572,2026-05-31,0.12,2060
1133747,2026-05-31,0.67,2060
1133381,2026-05-31,2.43,2060
1134502,2026-05-31,1.96,2060
1133520,2026-05-31,1.87,2060
1134219,2026-05-31,1.85,2060
1134453,2026-05-31,1.84,2060
1133134,2026-05-31,1.25,2060
